age_months,weight_lb,height_ft
24,27.875672,2.836358268
24.5,28.031388,2.849790354
25.5,28.338244,2.875737205
26.5,28.640524,2.901025591
27.5,28.9399,2.925705052
28.5,29.23778,2.949816601
29.5,29.535418,2.973395013
30.5,29.833936,2.996470472
31.5,30.134236,3.019070538
32.5,30.43711,3.041219816
33.5,30.743196,3.062941929
34.5,31.053066,3.084259514
35.5,31.36716,3.105195866
36.5,31.685786,3.12577395
37.5,32.00923,3.146809383
38.5,32.337646,3.167563648
39.5,32.671188,3.18805479
40.5,33.009878,3.208299869
41.5,33.353716,3.228314633
42.5,33.70268,3.248114829
43.5,34.05666,3.267715879
44.5,34.415546,3.287132546
45.5,34.779206,3.306374672
46.5,35.14742,3.325459318
47.5,35.520056,3.344399606
48.5,35.896894,3.363205381
49.5,36.277692,3.381886483
50.5,36.662296,3.400456037
51.5,37.05042,3.418920604
52.5,37.441888,3.437293307
53.5,37.836458,3.45558399
54.5,38.233932,3.473795932
55.5,38.634112,3.491938976
56.5,39.0368,3.510022966
57.5,39.441798,3.528051181
58.5,39.848952,3.546030184
59.5,40.258064,3.563963255
60.5,40.669024,3.581860236
61.5,41.0817,3.599724409
62.5,41.49596,3.617555774
63.5,41.911694,3.635360892
64.5,42.328814,3.653139764
65.5,42.747276,3.67089895
66.5,43.166992,3.688635171
67.5,43.58794,3.706351706
68.5,44.010098,3.724048556
69.5,44.433466,3.741729003
70.5,44.858044,3.759386483
71.5,45.283854,3.777027559
72.5,45.71094,3.79464895
73.5,46.139346,3.812247375
74.5,46.569138,3.829819554
75.5,47.000426,3.847368766
76.5,47.433276,3.864888451
77.5,47.867842,3.882375328
78.5,48.30419,3.899829396
79.5,48.742474,3.917247375
80.5,49.182848,3.934619423
81.5,49.625444,3.951948819
82.5,50.07046,3.969229003
83.5,50.518006,3.986456693
84.5,50.968324,4.003625328
85.5,51.421546,4.020734908
86.5,51.877892,4.037775591
87.5,52.337538,4.054744094
88.5,52.800682,4.071637139
89.5,53.267522,4.088451444
90.5,53.738256,4.105180446
91.5,54.213082,4.121820866
92.5,54.69222,4.138366142
93.5,55.175824,4.154816273
94.5,55.664158,4.171161417
95.5,56.157354,4.187401575
96.5,56.655654,4.203533465
97.5,57.159212,4.219550525
98.5,57.668248,4.235452756
99.5,58.182938,4.251236877
100.5,58.703458,4.266896325
101.5,59.230006,4.282434383
102.5,59.762758,4.297844488
103.5,60.30189,4.31312664
104.5,60.847534,4.32828084
105.5,61.399888,4.343307087
106.5,61.959128,4.358205381
107.5,62.525408,4.372972441
108.5,63.09886,4.387614829
109.5,63.67966,4.402129265
