gameId,blueWins,blueKills,blueDeaths,blueTotalGold,blueGoldDiff
4519157822,0,9,6,17210,643
4523371949,0,5,5,14712,-2908
4521474530,0,7,11,16113,-1172
4524384067,0,4,5,15157,-1321
4436033771,0,6,6,16400,-1004
4475365709,1,5,3,15899,698
4493010632,1,7,6,16874,2411
4496759358,0,5,13,15305,-2615
4443048030,0,7,7,16401,-1979
4509433346,1,4,5,15057,-1548
4452162573,0,4,4,15474,331
4453038156,0,11,11,16695,-1505
4515594785,1,7,1,17865,3274
4524924257,0,4,9,14979,-3414
4516505202,1,4,4,15722,-470
4482120064,0,3,7,15015,-1996
4523758462,1,10,2,19733,5228
4503636905,0,3,7,14852,-1975
4486384947,1,5,4,16282,882
4457103291,0,5,9,14994,-3155
4472164226,1,11,6,18606,2526
4445294621,0,4,13,15878,-2835
4480384157,0,4,6,15773,-1254
4520898233,0,4,3,15906,406
4522124566,1,6,9,16515,-1020
4523978853,0,4,8,15415,-2472
4507834811,1,8,6,17178,1260
4501319968,0,7,4,17226,1857
4519148589,0,8,6,17474,1320
4484877784,0,3,8,14905,-3282
4466931235,1,9,4,18132,2883
4524189570,1,5,2,16053,1703
4503380070,0,6,4,16438,608
4497858921,0,5,4,15634,71
4509242024,1,6,4,16085,275
4524296550,0,3,4,14981,-809
4516034199,0,2,8,15421,-2771
4504386463,0,5,6,15665,-1730
4523799496,0,7,9,17528,-904
4379931850,0,3,6,15032,-1683
4523858150,0,4,11,15483,-3025
4459778854,1,10,6,19226,3004
4499523222,1,9,6,16945,1574
4477029310,1,5,5,15000,-1036
4525037711,0,3,4,15888,16
4459414345,0,1,10,12925,-6386
4505664040,1,11,2,19250,5096
4439587692,1,8,4,18355,2756
4508000311,1,2,3,13978,-977
4513365614,0,5,5,15851,-808
4473252742,0,7,9,16474,-1559
4438138890,1,6,8,16590,544
4467008289,1,5,2,15737,1381
4492625917,1,5,3,16990,2031
4502901044,0,3,3,15297,131
4467732013,0,4,10,15651,-2699
4514402510,0,5,7,15587,-1672
4521277262,1,10,6,17777,1201
4521752962,1,7,5,16426,-108
4514070165,0,10,7,20278,4633
4525056568,0,2,7,13791,-2262
4521255103,0,6,7,16505,-49
4510728488,1,6,4,17277,1687
4516919746,1,9,1,18269,3933
4499868617,0,4,10,14166,-4061
4514234813,0,6,12,15456,-4920
4513591449,0,4,5,15180,-1705
4471416203,0,7,8,16179,105
4521227315,1,3,5,16026,-554
4424144387,0,4,5,14850,-1037
4517806218,0,9,8,17347,-1144
4479974478,1,5,4,15887,1173
4423018162,0,8,2,17399,3194
4518401885,0,2,7,13828,-2622
4525208730,1,6,4,16645,1151
4512774492,1,6,4,16248,1463
4522772001,0,4,6,15310,-1038
4464439713,1,8,4,16784,1424
4479823004,1,13,9,19032,527
4507330276,0,7,6,17518,1807
4447392049,0,11,4,18976,2856
4521089901,0,6,6,16143,-964
4427944005,0,7,8,15868,-178
4509784380,1,9,8,17977,705
4524411421,1,10,10,18138,908
4519898107,1,7,2,18025,3558
4517633575,0,1,6,14625,-1299
4521948875,1,5,8,15752,-1763
4509102299,1,10,4,18480,2547
4525041896,0,3,10,14995,-3685
4515706467,0,7,11,15655,-3689
4476006621,0,3,5,15562,-764
4499940691,1,9,2,17139,3037
4426644547,1,7,7,19229,3545
4525072812,0,7,7,16972,-1031
4524217548,0,5,10,16249,-1796
4499622849,1,5,4,16415,1626
4499844894,1,6,8,18012,832
4460534353,1,11,6,19294,2750
4495269641,0,5,8,15383,-1524
4524995677,0,6,8,15777,-1370
4464596479,0,4,6,14805,-1506
4452452649,0,6,7,15244,-1101
4420481816,0,8,3,17574,2774
4412895789,0,8,11,16655,-1806
